id	specie	name	long_name
1	N++	N++	N${}^{++}$
2	N+	N+	N${}^+$
3	N+	N+_2s22p2_3P	N${}^+$ ($2s^22p^2$ ${}^3P$)
4	N+	N+_2s12p3_1D	N${}^+$ ($2s^22p^2$ ${}^1D$)
5	N+	N+_2s12p3_1S	N${}^+$ ($2s^22p^2$ ${}^1S$)
6	N2+	N2+	N${}_2^+$
7	N2+	N2+(C2Sigmau+)	N${}^+_2$ (C ${}^2\\Sigma_u^+$)
8	N2+	N2+(C2Sigmau+)	N${}^+_2$ (C ${}^2\\Sigma_u^+$)
9	N2+	N2+(B2Sigmau+)	N${}^+_2$ (B ${}^2\\Sigma_u^+$)
10	N2+	N2+(B2Sigmau+)	N${}^+_2$ (B ${}^2\\Sigma_u^+$)
11	N2+	N2+(A2Piu)	N${}^+_2$ (A $^2\\Pi_u$)
12	N2+	N2+(X2Sigmag+)	N${}^+_2$ (X ${}^2\\Sigma_g^+$)
13	N2+	N2+(D2Pig)	N${}^+_2$ (D ${}^2\\Pi_g$)
14	N2+	N2+(D2Pig)	N${}^+_2$ (D ${}^2\\Pi_g$)
15	N2	N2	N${}_2$
16	N2	N2(X1Sigmag+)	N${}_2$ (X ${}^1\\Sigma_g^+$)
17	N2	N2(A3Sigmau+)	N${}_2$ (A ${}^3\\Sigma_u^+$)
18	N2	N2(B3Pig)	N${}_2$ (B ${}^3\\Pi_g$)
19	N2	N2(W3Deltau)	N${}_2$ (W ${}^3\\Delta_u$)
20	N2	N2(Bp3Sigmau-)	N${}_2$ (B${}^{'} $ ${}^3\\Sigma_u^-$)
21	N2	N2(ap1Sigmau-)	N${}_2$ (a${}^{'}$ ${}^1\\Sigma_u^-$)
22	N2	N2(a1Pig)	N${}_2$ (a ${}^1\\Pi_g$)
23	N2	N2(w1Deltau)	N${}_2$ (w ${}^1\\Delta_u$)
24	N2	N2(C3Piu)	N${}_2$ (C ${}^3\\Pi_u$)
25	N2	N2(E3Sigmag+)	N${}_2$ (E ${}^3\\Sigma_g^+$)
26	N2	N2(app1Sigmag+)	N${}_2$ (a${}^{''}$ ${}^1\\Sigma_g^+$)
27	N2	N2(c4p1Sigmau+)	N${}_2$ (c${}_4^{'}$ ${}^1\\Sigma_u^+$)
28	N	N	N
29	N	N_2s22p3_4So	N($2s^22p^3 {}^4S^o$)
30	N	N_2s22p3_2Do	N($2s^22p^3 {}^2D^o$)
31	N	N_2s22p3_2Po	N($2s^22p^3 {}^2P^o$)
32	N	N_2s22p2_3P_3s_4P	N($2s^22p^2$(${}^3P$)3s ${}^4P$)
33	N	N_2s22p2_3P_3s_2P	N($2s^22p^2$(${}^3P$)3s ${}^2P$)
34	N	N_2s22p4_4P	N($2s^22p^4$ ${}^4P$)
35	N	N_2s22p2_3P_3p_2So	N($2s^22p^2$(${}^3P$)3p ${}^2S^o$)
36	N	N_2s22p2_3P_3p_4Do	N($2s^22p^2$(${}^3P$)3p ${}^4D^o$)
37	N	N_2s22p2_3P_3p_4Po	N($2s^22p^2$(${}^3P$)3p ${}^4P^o$)
38	N	N_2s22p2_3P_3p_4So	N($2s^22p^2$(${}^3P$)3p ${}^4S^o$)
39	N	N_2s22p2_3P_3p_2Do	N($2s^22p^2$(${}^3P$)3p ${}^2D^o$)
40	N	N_2s22p2_3P_3p_2Po	N($2s^22p^2$(${}^3P$)3p ${}^2P^o$)
41	N	N_2s22p2_1D_3s_2D	N($2s^22p^2$(${}^1D$)3s ${}^2D$)
42	N	N_2s22p2_3P_4s_4P	N($2s^22p^2$(${}^3P$)4s ${}^4P$)
43	N	N_2s22p2_3P_4s_2P	N($2s^22p^2$(${}^3P$)4s ${}^2P$)
44	N	N_2s22p2_3P_3d_2P	N($2s^22p^2$(${}^3P$)3d ${}^2P$)
45	N	N_2s22p2_3P_3d_4F	N($2s^22p^2$(${}^3P$)3d ${}^4F$)
46	N	N_2s22p2_3P_3d_4P	N($2s^22p^2$(${}^3P$)3d ${}^4P$)
47	N	N_2s22p2_3P_3d_2F	N($2s^22p^2$(${}^3P$)3d ${}^2F$)
48	N	N_2s22p2_3P_3d_4D	N($2s^22p^2$(${}^3P$)3d ${}^4D$)
49	N	N_2s22p2_3P_3d_2D	N($2s^22p^2$(${}^3P$)3d ${}^2D$)
50	N	N_2s22p2_3P_4p_2So	N($2s^22p^2$(${}^3P$)4p ${}^2S^o$)
51	N	N_2s22p2_3P_4p_4Do	N($2s^22p^2$(${}^3P$)4p ${}^4D^o$)
52	N	N_2s22p2_3P_4p_4Po	N($2s^22p^2$(${}^3P$)4p ${}^4P^o$)
53	N	N_2s22p2_3P_4p_2Do	N($2s^22p^2$(${}^3P$)4p ${}^2D^o$)
54	N	N_2s22p2_3P_4p_4So	N($2s^22p^2$(${}^3P$)4p ${}^4S^o$)
55	N	N_2s22p2_3P_4p_2Po	N($2s^22p^2$(${}^3P$)4p ${}^2P^o$)
